song_name,name,song_id,cluster
The Age Of The Understatement,Alex Turner,5WXMS6w7Gvb02b6bx4eBSF,2
The Age Of The Understatement,Miles Kane,5WXMS6w7Gvb02b6bx4eBSF,2
Unchained Melody,The Righteous Brothers,1jFhnVoJkcB4lf9tT0rSZS,1
Movin' on Up,Primal Scream,67ncFJWaIbJdqZl1bpEppz,0
Hey Dude,Kula Shaker,66Vp0lK0dCcNOaG6zV6dzO,0
The Boxer,Simon & Garfunkel,6K1BMBzqN51P5OV2ij7WwU,1
Whatever,Oasis,7jr2K0ArBDR6E2tvEkFOlK,0
Smells Like Teen Spirit,Nirvana,1f3yAtsJtY87CTmM8RLnxf,3
Step On,Happy Mondays,0xZuxFQjLWZnRMOFlFDsF5,0
Manic Monday,The Bangles,7Di7t9yGoxdZRLAt5a4pi0,3
One Day Like This,Elbow,1OZSVl0JJ1MBzibpuhmmXb,0
Haunted,Shane MacGowan,2oFSo7vhrGqZePsOKxcrZg,1
Haunted,Sinéad O'Connor,2oFSo7vhrGqZePsOKxcrZg,1
This Used to Be My Playground,Madonna,637V2ymBt4Ljlbz4EmRys8,5
"Past, Present & Future",The Shangri-Las,6ozkTvpSzrRK9vJCMksza3,1
Plastic Palace People,Scott Walker,3o8beui1UaY3NPldZl6XDz,5
Can You Feel It,The Jacksons,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Rhonda Gentry,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Gerry Garrett,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Lita Aubrey,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Paulette Brown,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Venetta Fields,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Roy Galloway,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Stephanie Spruill,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Tyrell (Rock) Deadrick,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Jim Gilstrap,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Brigette Bush,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Roger Kenerly II,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Bob Mack,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Phyllis St. James,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Carolyn Dennis,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Ronald Vann,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Soloman Daniels,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Carmen Twillie,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Yolanda Kenerly,7zz6TEDnwmmRaUcRBHZDmq,2
Can You Feel It,Bunny Hull,7zz6TEDnwmmRaUcRBHZDmq,2
Open Up (Radio Edit),Leftfield,1OQETrSEd09HhIR6fEJEhn,0
What Do You Want to Make Those Eyes at Me For - Single Version - Re-mastered 2004,Shakin' Stevens,7dQl5A1VxoDWdqpAqN6YDt,0
Connection,Elastica,2BrL11P3djGJKirIN160qf,3
3 Chains O' Gold,Prince,02xJ0V8wj4ZMBMLNckcogH,2
If I Can Dream - Stereo Mix,Elvis Presley,1UFC110Pt7YQsgeDbmllyx,3
Lose Yourself,Eminem,7MJQ9Nfxzh8LPZ9e9u68Fq,3
I'm a Believer - 2006 Remaster,The Monkees,3G7tRC24Uh09Hmp1KZ7LQ2,3
Fairytale of New York (feat. Kirsty MacColl),The Pogues,1O0jrf1Ar84fVoXY5nlVWW,1
Fairytale of New York (feat. Kirsty MacColl),Kirsty MacColl,1O0jrf1Ar84fVoXY5nlVWW,1
Walking On Sunshine,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,0
MacArthur Park,Richard Harris,2pYtycZTHsWFCI38jhPQaj,0
Strawberry Fields Forever - Remastered,The Beatles,5EuraV2jbqB15ihd3d2Hex,0
Lust For Life,Iggy Pop,570LZW7MNIdRUYVEr3BNnQ,0
I Say a Little Prayer,Aretha Franklin,3NfxSdJnVdon1axzloJgba,1
Innuendo - Remastered 2011,Queen,0BzhS74ByIVlyz8BedHaYi,3
Legend of a Cowgirl,Imani Coppola,5NNGO1dOEpwDdkbTfw0ErB,0
I Bet You Look Good On The Dancefloor,Arctic Monkeys,3DQVgcqaP3iSMbaKsd57l5,2
Stan,Eminem,3UmaczJpikHgJFyBTAJVoz,2
Stan,Dido,3UmaczJpikHgJFyBTAJVoz,2
Cars,Gary Numan,6HZ67VImxqr8aMBEEhblzf,3
Light & Day / Reach for the Sun,The Polyphonic Spree,2tqUvU7hJymXT8t8Me6EiY,1
I'll Never Fall In Love Again,Bobbie Gentry,0OGcCB0znxmiaARYuwmHP2,3
A Girl Like You,Edwyn Collins,6XOINCZBv8Q7RXgNNiTwIN,2
Sign 'O' the Times,Prince,4Yenz5JZZOUiZSeyKY8bDz,0
When I Fall In Love - Remastered,Nat King Cole,0JlHhicC1HetuYgujLD9hO,1
Resurrection Shuffle,"Ashton, Gardner & Dyke",5QqZ6fhRnXDKkA8UHuBeAG,3
Teenage Kicks,The Undertones,4wNATViXFXHOKsGgEehnBT,3
Everybody's Got To Learn Sometime,The Korgis,1APzPGnxRoy641yBRA6IUi,5
The Jean Genie - 2013 Remaster,David Bowie,6uZtMNTfU5u8w6fsnXeOdb,0
Wondrous Place - Single Version,Jeff Lewis,30QIN4fNF6kGGyNyIi3vhy,1
Wondrous Place - Single Version,Bill Giant,30QIN4fNF6kGGyNyIi3vhy,1
Wondrous Place - Single Version,Billy Fury,30QIN4fNF6kGGyNyIi3vhy,1
Hit the Road Jack,Ray Charles,4UGxnxGlpc7BB8Cbu8vITC,5
Bitter Sweet Symphony,The Verve,5yEPxDjbbzUzyauGtnmVEC,0
Respect,Aretha Franklin,5XsZOGnjjTIJWaUQPajAWa,3
Heroes and Villains,The Beach Boys,3b9EWgbcni1N8Mu5YMS4SZ,0
Summer Of '69,Bryan Adams,0GONea6G2XdnHWjNZd6zt3,3
The Snake,Al Wilson,37HopSjQ8Bn4CKGkwJ1rdU,2
Ballad Of Peter Pumpkinhead - 2001 Remaster,XTC,50GQrTJ85qG7wSPoGjvuCM,3
A Drop in Time,Mercury Rev,49GTGue67Sn9wvfJyiVarI,1
Saved,LaVern Baker,091baWWCDEowJprUts9La0,0
Crash,The Primitives,7COcoiWy4fuz0nH2v8BkRD,0
Breathe,The Prodigy,5FCyoZGaN6nRod1oNDJIWZ,0
Always Look On The Bright Side Of Life,Monty Python,4DEcdqqKokU7UAE4wCGQEy,3
I Think I Love You,Voice Of The Beehive,16cvyKHWy8bQLiNGI2XMXT,0
Hobo Humpin' Slobo Babe,Whale,4Zjf4XQZushvULDYoYq7VG,3
Scenes from an Italian Restaurant,Billy Joel,4pYVwcwdWc0SaBeGpUbaja,0
Two Tribes,Frankie Goes To Hollywood,2KWQhZHxEjJQN4FgAyNGUn,0
Ring of Fire,Johnny Cash,5rDkA2TFOImbiVenmnE9r4,0
Folsom Prison Blues,Johnny Cash,0LTSNmOLBt25GMjHlxp9OR,0
Stagger Lee,Lloyd Price,0HHswZ0tJX8O5YBNoZwoFl,1
Roll Over Beethoven,Chuck Berry,49vvBOlcnR3X4ArmnZMPL3,1
Mack the Knife - Edit; 2006 Remaster,Bobby Darin,35hKX7JI7gvQ0oKna8895l,1
20th Century Boy - Remaster,T. Rex,1y5LL9dpLXbCXNKKqw5wCJ,0
White No Sugar,The Clint Boon Experience,7hM424v9nrgErVEVyHgYUi,2
All the Rowboats,Regina Spektor,0tl5HRIyc76NxEZA3wWI3X,2
Human,Rag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,0
Tutti Frutti,Little Richard,3Os0VNtvEnRFlXSK5dvOFu,5
Jailhouse Rock,Elvis Presley,3ZUv7Z20fITqCTzJL9bLP2,2
All Day and All of the Night,The Kinks,78JmElAFmrPNhLjovDR9Jm,0
"Temptation - 12"" Version / Remastered 2016",Heaven 17,1u8wrxIC4Vo3OYI1Rbb5hN,2
Ziggy Stardust - 2012 Remaster,David Bowie,5IyL3XOaRPpTgxVjRIAxXU,0
Johnny B. Goode - Single Version,Chuck Berry,11cPCZ0BYWJmAm7N8eDxtu,0
Big Yellow Taxi,Joni Mitchell,6UkMcAA19lTdjs22jtB7o2,1
Stairway to Heaven - 1990 Remaster,Led Zeppelin,51pQ7vY7WXzxskwloaeqyj,1
Under Pressure,Queen,5oidljiMjeJTWUGZ4TfFea,3
Under Pressure,David Bowie,5oidljiMjeJTWUGZ4TfFea,3
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,0WQiDwKJclirSYG9v5tayI,3
Things I've Seen - Radio Edit,The Spooks,1h2Q3Um4SJjbqq4FceESL3,2
Jackie,Scott Walker,5wL2QaXVAw0ZZvxjx4retw,1
Son Of A Preacher Man,Dusty Springfield,6ek9SiEj5a65WIs2EV7qiM,1
The Impossible Dream - 2012 Remaster,Carter The Unstoppable Sex Machine,1QhWgrKF290gMmePW4AoVq,1
Stay Together (Long Version),Suede,2XBpOKkIqv7pSqH4dWKfTI,5
Sixteen Tons,Tennessee Ernie Ford,3P6OwCX7Ofiaaqtvujb6i5,1
Reet Petite,Jackie Wilson,533NW3XHuW3MjO4vLqY2iV,0
House of the Rising Sun,The Animals,3XC7Jd6SfrQYKZJ6inyRHK,2
What The World Needs Now Is Love,Jackie DeShannon,1fjOO2k5k2vjg6TrvPJ2NS,1
Bat Out of Hell,Meat Loaf,0VafPclbphrwh36WraHWws,0
I Will Survive - Single Version,Gloria Gaynor,0rwmxAht1fk7QuSiCmIhGV,2
Ashes to Ashes,David Bowie,1JHUxxd77M4ViaqJZfBdl0,3
The Lovecats,The Cure,2gOaGuy7ZlfVDSnTfPkxpH,3
Hallelujah - Club Mix,Happy Mondays,6zo9Mf9ktHobjWgd10Jj0u,0
Hallelujah - Club Mix,Andrew Weatherall,6zo9Mf9ktHobjWgd10Jj0u,0
Hallelujah - Club Mix,Paul Oakenfold,6zo9Mf9ktHobjWgd10Jj0u,0
Black Horse And The Cherry Tree,KT Tunstall,0qAMjeQFyd1qD0LDiV8gWp,2
Daydream Believer,The Monkees,7uEcCGtM1FBBGIhPozhJjv,0
I'll Never Fall in Love Again,Deacon Blue,1eztLYnRHm9dAEFJ0kgE9u,1
Fun For Me,Moloko,6Z3GJUrYZPkHApmB0MKLQX,2
Firestarter,The Prodigy,0QwzCPyTv6UnzjAhZZ0CkB,0
Your Woman,White Town,4ACxa9buEUnOdYEoPcnMpi,2
Summer in the City - Remastered,The Lovin' Spoonful,7AzFID6u1b3zIWbd9pb8Dk,0
Children of the Revolution - Remaster,T. Rex,7as3y0Z9c0LH4sZDhFw9uU,2
Somewhere in My Heart,Aztec Camera,7kJXjcl5lk7g7fNQAVVpkl,3
Lazy Sunday,Small Faces,4wElJpVuDuCo2NpvCVa6a3,3
Creep - Radio Edit,Radiohead,4fk72hAEtKRTmEEeYzobJv,0
Jacky,Marc Almond,5qc1vCSuynUVzXUk9K3WEe,0
Parklife,Blur,3mqRLlD9j92BBv1ueFhJ1l,3
All You Need Is Love - Remastered,The Beatles,3xMSaDC9TU6AQJIsxQB7MK,0
Video Killed The Radio Star,The Buggles,6t1FIJlZWTQfIZhsGjaulM,3
Pretty Vacant,Sex Pistols,21rz5LMBiIpQWRGQcb0xIg,3
Rat Trap,The Boomtown Rats,7e5gTZeEefXjDJSHnKhXLf,2
Animal Nitrate,Suede,6xbqbG8quMT88zadubrWtl,0
Light My Fire - Mono,The Doors,7aghcqWLL9hGMIb0VFdbyD,0
"Symphony No. 10 in E Minor, Op. 93: II. Allegro",Dmitri Shostakovich,3qFIwHZMt9EOhNjouKSstx,5
"Symphony No. 10 in E Minor, Op. 93: II. Allegro",Royal Liverpool Philharmonic Orchestra,3qFIwHZMt9EOhNjouKSstx,5
"Symphony No. 10 in E Minor, Op. 93: II. Allegro",Vasily Petrenko,3qFIwHZMt9EOhNjouKSstx,5
Beautiful,Joydrop,66DXqxWxTbTxMOM0xCxhaZ,2
Save Me,Aimee Mann,0EqtsCvcDjEz6svFsaV5HN,1
Ship of Fools,World Party,3ndKgw7LvKO7zIk1rgOQJ2,3
Ship of Fools,Anthony Thistlethwaite,3ndKgw7LvKO7zIk1rgOQJ2,3
Setting Sun,The Chemical Brothers,3Bjx94921MJ0DvjQQ9KVpK,0
Come Together,Spiritualized,3Oz4rsh19j1quSFgc54Iqg,2
Good Vibrations - Remastered 2001,The Beach Boys,2oF7FZHIJbzjeEXZ3D0Ku4,3
Time - 2013 Remaster,David Bowie,1aBgL67Czpgnm87kbrQuzo,3
Cry Baby Cry - Remastered 2009,The Beatles,5XmetMMUFNXClbiYnGdVmP,2
Glory Box,Portishead,3Ty7OTBNSigGEpeW2PqcsC,3
Laura,Scissor Sisters,1mSlq4Su7D3iRwpPBSqa5i,0
Section 12 (Hold Me Now),The Polyphonic Spree,2lwjsEB5BhesuGjiSWzvh2,3
Never Forget - Single Version,Take That,1WK7eLVsD0zH4UWm9ob3z6,0
Jump Around,House Of Pain,4mSNm1d97RbhyjrTSkjek0,2
The Big Music,The Waterboys,5mKjo7eu0eJ9NRmIEweJ4O,2
Sit Down,James,3idthQ24V2aPRcthv7Aq5o,0
Slippin' And Slidin' (Peepin' And Hidin'),Little Richard,3zXrkxeaiLpaqILmDeGAZt,3
Sir Duke,Stevie Wonder,7up4CtHvdWA8GYZF0aNluq,0
Raspberry Beret,Prince,5jSz894ljfWE0IcHBSM39i,3
My Baby Just Cares For Me,Nina Simone,2n845ZaLOgpNJ3RinFwE1W,5
Your Song,Elton John,38zsOOcu31XbbYj9BIPUF1,1
Stand and Deliver,Adam & The Ants,1eoHjFYPjG7cBJi6Obb7oV,2
You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,3no0tiiQldD3LnsxwVtnnk,1
Eighth Day,Hazel O'Connor,1yEEAHwwMpjv7TgnQdlSp4,3
Papa Was A Rollin' Stone,The Temptations,6MwEqdLoCslkioiDnY6uV6,5
Somethin' Else,Eddie Cochran,3Ib94mN8YF3cXZo5x1FpQL,3
Town Called Malice,The Jam,6sX5sm1wrYYV6ooAirEXAa,0
Welcome to the Black Parade,My Chemical Romance,5wQnmLuC1W7ATsArWACrgW,3
Rabbit Heart (Raise It Up),Florence + The Machine,5UoDi2bvpeYRihthPyljvg,2
I Can Never Go Home Anymore,The Shangri-Las,0uc1sZNhV8V97OmvYP6fK2,5
Come Together - Remastered,The Beatles,0MKqeOVdZcUFGJvWpGCKbG,2
"Knock On Wood - 1985 7"" Remix",Amii Stewart,2qxrGDWh1qXWXJ1DbbxAEu,3
The Passenger,Iggy Pop,3yP0cohcr97BUNJcgvmSVg,3
Wuthering Heights,Kate Bush,5YSI1311X8t31PBjkBG4CZ,3
Can You Forgive Her? - 2001 Remaster,Pet Shop Boys,4oWiuhiEGtE0AuzOHwbJcQ,2
Lady Marmalade,LaBelle,17VWTx7LD7liGlpnlGhUbn,2
Hallelujah,Rufus Wainwright,2u6fRGcaBhpI4uNBHpGv0b,5
Hurt,Johnny Cash,2pDXMhXlzg67zhXKZVlefy,5
Great Balls Of Fire,Jerry Lee Lewis,4S9WWr42OEWNbA7SVt9xEY,0
A Girl Called Johnny - 2002 Remaster,The Waterboys,2EF94Cbk5QW28tY95e1DtW,2
Shine On,The House of Love,1RSVjxbRge3mnRPWv894G4,2
The Fish Cheer / I-Feel-Like-I’m-Fixin’-To Die Rag,Country Joe & The Fish,4ekhcmbinPu8eLHtxD2lav,2
"Carmina Burana : ""O Fortuna""",Carl Orff,7sCQAc6A3zsQwUbWdj1ka5,1
"Carmina Burana : ""O Fortuna""",Chor der Deutschen Oper Berlin,7sCQAc6A3zsQwUbWdj1ka5,1
"Carmina Burana : ""O Fortuna""",Walter Hagen-Groll,7sCQAc6A3zsQwUbWdj1ka5,1
"Carmina Burana : ""O Fortuna""",Eugen Jochum,7sCQAc6A3zsQwUbWdj1ka5,1
"Carmina Burana : ""O Fortuna""",Orchester der Deutschen Oper Berlin,7sCQAc6A3zsQwUbWdj1ka5,1
Daydream In Blue,I Monster,118kolZnbJBQvbOl0D4C71,2
Duel of the Fates,John Williams,1ghlpxVfPbFH2jenrv9vVw,4
Duel of the Fates,London Symphony Orchestra,1ghlpxVfPbFH2jenrv9vVw,4
Heavyweight Champion Of The World,Reverend And The Makers,79NyNPKmsGizc2xs4p22rj,0
Moon Kittens,Bellowhead,4B5f52DYlw9KOuEULabj6L,0
Emperor's New Clothes,Panic! At The Disco,3px2rAPu74ltbkf9eZsZ8h,3
Young And Menace,Fall Out Boy,5OZRid7wbRwgHGEVgZ9KyL,0
I Just Want To Make Love To You - Single Version,Etta James,3QnHWkNMY2mpy494Bis0ly,1
Frontier Psychiatrist,The Avalanches,2CQWQkDK3fLiaxXvrMclMA,0
Sun Goes Down,David Jordan,13jTtALkKaVjFDkq1r6e10,0
Leaders of the Free World,Elbow,6z8CQh1NxzPfU9bIvLXrxv,2
Shoorah! Shoorah!,Betty Wright,1X9povBxQkI1ojRA893fv8,3
Eloise,The Damned,40Su38fTiU4hO8W5ff88Bn,0
Sheriff Fatman,Carter The Unstoppable Sex Machine,6cW4GA7TQdH6wuMllLzubz,0
Paradise City,Guns N' Roses,5Q41NLTmGbVPozwHKK7bk2,0
12 Reasons Why I Love Her,My Life Story,6yrHWeAT2QkaIIs9g3nSzF,2
Walkin' On The Sun,Smash Mouth,4TQeNHx85xcP9YRkvJC6K1,0
96 Tears,? & The Mysterians,4v75K5mEyumdXCZU09kwAg,0
Oliver's Army,Elvis Costello & The Attractions,1GIV1YzfuFzYAoUjwx3r7W,3
Mr. Blue Sky,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,1
Do It Again - Remastered,The Beach Boys,1pzQSwqvKFz6rAPrGJmyBG,0
Rocks,Primal Scream,2C1LBnSUybZIGRJUkSK2GC,0
Rocks,George Drakoulias,2C1LBnSUybZIGRJUkSK2GC,0
Rocks,David Bianco,2C1LBnSUybZIGRJUkSK2GC,0
The Eve Of The War,Jeff Wayne,09yDX2BZLGaLnztkZ0hRdr,2
Chemical World - 2012 Remaster,Blur,2ZU4gtRTj53RJddZkqeOu7,3
Riot In Cell Block No. 9,The Robins,2vSkapqr3GNs5SD9Qqis7K,5
Misirlou,Dick Dale & His Del-Tones,3yuhWcddu8hgwlMIAyFamR,3
Palaces of Montezuma,Grinderman,1uAgOx0GWsKLsg1cLvKDNb,3
Danny Nedelko,IDLES,44TyGuyg0xVt5Ngq4CCnxD,0
Four to the Floor,Starsailor,4x5WbFaTTCexxBKbUyfBcG,2
Wake Up,Arcade Fire,6Hmj7SrLRbreLVfVS7mV1S,3
"Baby, I Love You",The Ronettes,4V6ZLk1IHdG00qu3B4m8Y9,3
Get It On,T. Rex,5nbNdS5SKdpiDZjCBh8W7b,2
The Look,Roxette,3e2uLyTYlWRK5zzURrdFMe,3
Ain't That A Shame,Fats Domino,36ordvZDZM3hGH920vcEnk,1
Yes - Full Version,McAlmont & Butler,6joAGL5IuD66Qgcz049ObW,0
Success Has Made a Failure of Our Home,Sinéad O'Connor,59ISdOkXgOwOh8BeXvaySo,5
Montague Terrace (In Blue),Scott Walker,3IgPBIZFH9z6su9ODlzaL9,5
"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights",Sergei Prokofiev,7HSs4srn1qnZhh7WRWBVOk,4
"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights",André Previn,7HSs4srn1qnZhh7WRWBVOk,4
"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights",London Symphony Orchestra,7HSs4srn1qnZhh7WRWBVOk,4
Uninvited,Alanis Morissette,7c1iI6dwdCpHGYT8DGEfab,3
Let's Go Crazy,Prince,0QeI79sp1vS8L3JgpEO7mD,0
Enter Sandman,Metallica,1hKdDCpiI9mqz1jVHRKG0E,2
Smooth (feat. Rob Thomas),Santana,0n2SEXB2qoRQg171q7XqeW,0
Smooth (feat. Rob Thomas),Rob Thomas,0n2SEXB2qoRQg171q7XqeW,0
The Eton Rifles,The Jam,5BgRYp6oE9itsykYLMp7k3,2
Psycho Killer - 2005 Remaster,Talking Heads,1i6N76fftMZhijOzFQ5ZtL,3
Suburbia - 2010 Remaster,Pet Shop Boys,0TuX3aEbteTIX5QH93AbfY,3
She Cries Your Name,Beth Orton,0wwUycKJ0UfQHfhskByj5l,1
She Cries Your Name,Victor Van Vught,0wwUycKJ0UfQHfhskByj5l,1
Into My Arms,Nick Cave & The Bad Seeds,0dDDB5Y0USPabzqBmajLJr,1
Mustang Sally,Wilson Pickett,5Sz09kaSzvpTC8lgm5W8Mt,3
Blueberry Hill - Remastered 2002,Fats Domino,2NkAoxQOr6MGdMB5JDTU81,1
Dancing Queen,ABBA,2rgqPSIRAfaO2MGo9smdSX,0
West End Girls - 2001 Remaster,Pet Shop Boys,7FlwylpJSe3ea6m1IrkizS,2
Sweet Little Sixteen,Chuck Berry,3nmXelCZk016oLZKKmakQW,3
War,Edwin Starr,3yCRbRnRraIpWzWTOZDyX9,3
Einstein a Go-Go,Landscape,3zUTtUDtRy5OLEs2gnngEN,3
No Particular Place To Go,Chuck Berry,0mTtWQ6A4zKzlDfUvXDmwe,0
Babooshka,Kate Bush,53Mz9H5UvWMQUXHZnaZYKQ,5
Starman - 2012 Remaster,David Bowie,0pQskrTITgmCMyr85tb9qq,0
Pump It Up,Elvis Costello & The Attractions,0JgMHia55MBfhfqZIRi3kF,0
Loser,Beck,4b8GTae6rqb9oPiRzVa3Gy,2
Sweet Soul Music,Arthur Conley,0pvA063uNyGQFp7DNtmk0P,0
Boo Shuffle,The Pipettes,4Aug82tQO4g0awBpGjiHn0,0
Take Me To Church,Hozier,0IqKeD8ZSP72KbGYyzEcAs,5
The Alchemist,Bauer,4d7Rw31QzHgsLSkHY0BvgW,1
The Alchemist,Berend Dubbe,4d7Rw31QzHgsLSkHY0BvgW,1
Love Potion No. 9,The Clovers,4Frd6VT1lsdjiwfAQaSldS,1
Thriller - 2003 Edit,Michael Jackson,0wQy2OO7jKjm0OOmA7gv3f,0
Running the World,Jarvis Cocker,3vHqlBYlLgog7dOJn8K0Tu,3
The Age of Revolution,The Duckworth Lewis Method,2DkmF47diTgYIXTIjzGdOh,2
Fanfare for the Common Man,Aaron Copland,0e6c45OSjdtl0Jew8dngDQ,4
Fanfare for the Common Man,London Symphony Orchestra,0e6c45OSjdtl0Jew8dngDQ,4
Blockbuster,Sweet,27JNhcSe0WWxqzKAAFtnCR,0
Subterranean Homesick Blues,Bob Dylan,6k9DUKMJpWvu6eFG3O64Lg,5
Suspicious Minds,Elvis Presley,6KDG8vvFerlCU63IXdw1zb,0
Brimful of Asha - Norman Cook Remix,Cornershop,6qk9YFIATDEj7STYyCnZA8,0
Brimful of Asha - Norman Cook Remix,Norman Cook,6qk9YFIATDEj7STYyCnZA8,0
The Diary of Horace Wimp,Electric Light Orchestra,3hfqwHXcRLq6BSneRpEdtm,1
Dream A Little Dream Of Me,The Mamas & The Papas,27hhIs2fp6w06N5zx4Eaa5,1
Girls & Boys,Blur,5CeL9C3bsoe4yzYS1Qz8cw,2
No More Heroes - 1996 Remaster,The Stranglers,3A6Ty55vQ1NC06EiB1fi9z,3
The World Is Not Enough,Garbage,14WjZSPgxjOgQ7QNO2Lrmz,2
Seven Nation Army,The White Stripes,3m6KkYKdnbffMpGd9Pm9FP,2
Section 14 (Two Thousand Places),The Polyphonic Spree,0jOdZDHmbxTSaFqtkFWvp7,3
